size;colors;obj_val;vars;constrs;nonzeros;bb_nodes;itercount;cuts;runtime
10;2;2.0;20;10;20;0;0;2;0.170748
10;3;3.0;30;10;30;1;27;17;0.00366
10;4;3.0;40;10;40;0;24;10;0.000904
10;5;1.0;50;10;50;0;14;6;0.001074
10;6;3.0;60;10;60;1;31;19;0.003751
10;7;3.0;70;10;70;1;23;12;0.0037
10;8;3.0;80;10;80;0;17;6;0.001581
10;9;4.0;90;10;90;1;35;18;0.004727
10;10;2.0;100;10;100;1;14;7;0.002781
20;2;5.0;40;20;40;0;13;8;0.001086
20;3;8.0;60;20;60;1;66;27;0.004071
20;4;10.0;80;20;80;12;590;110;0.051551
20;5;5.0;100;20;100;1;49;34;0.008802
20;6;8.0;120;20;120;1;89;41;0.009767
20;7;8.0;140;20;140;1;75;39;0.008888
20;8;9.0;160;20;160;7;218;113;0.033667
20;9;9.0;180;20;180;1;323;133;0.060273
20;10;8.0;200;20;200;1;229;147;0.05134
30;2;9.0;60;30;60;16;161;47;0.014108
30;3;14.0;90;30;90;1;329;70;0.044054
30;4;14.0;120;30;120;1;238;79;0.019501
30;5;15.0;150;30;150;1;453;139;0.053591
30;6;14.0;180;30;180;1;316;122;0.03435
30;7;14.0;210;30;210;1;352;136;0.060061
30;8;14.0;240;30;240;1;397;133;0.051179
30;9;17.0;270;30;270;12;1288;292;0.36128
30;10;14.0;300;30;300;1;359;165;0.067995
40;2;15.0;80;40;80;27;469;60;0.030343
40;3;17.0;120;40;120;1;482;84;0.05907
40;4;21.0;160;40;160;28;2974;201;0.299796
40;5;21.0;200;40;200;1;847;149;0.078016
40;6;21.0;240;40;240;1;923;218;0.237705
40;7;24.0;280;40;280;28;3583;362;0.306121
40;8;20.0;320;40;320;3;900;247;0.690071
40;9;23.0;360;40;360;8;2185;381;0.333025
40;10;21.0;400;40;400;1;880;286;0.296949
50;2;15.0;100;50;100;26;449;78;0.03659
50;3;24.0;150;50;150;10;862;87;0.162505
50;4;27.0;200;50;200;28;3408;208;0.446316
50;5;27.0;250;50;250;50;5747;305;0.426332
50;6;30.0;300;50;300;55;10109;450;0.881528
50;7;30.0;350;50;350;10;3163;350;0.527655
50;8;27.0;400;50;400;8;2589;321;0.337036
50;9;27.0;450;50;450;29;4457;380;0.491222
50;10;27.0;500;50;500;15;3328;435;0.446005
